ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:94(__init__)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
       40    0.000    0.000    0.000    0.000 _util.py:7(isPath)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       47    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {_sre.compile}
       11    0.000    0.000    0.004    0.000 re.py:192(compile)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        3    0.000    0.000    0.000    0.000 {method 'readline' of 'file' objects}
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        7    0.000    0.000    0.000    0.000 TiffImagePlugin.py:573(_register_basic)
      104    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
        5    0.000    0.000    0.000    0.000 Tkinter.py:2006(grid_configure)
    47/27    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 Tkinter.py:1824(_loadtk)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 decimal.py:3764(Context)
       36    0.000    0.000    0.000    0.000 Tkinter.py:1222(_root)
        1    0.000    0.000    0.000    0.000 fractions.py:44(Fraction)
        1    0.000    0.000    0.000    0.000 Image.py:490(Image)
       20    0.000    0.000    0.000    0.000 ImageTk.py:155(height)
        5    0.000    0.000    0.000    0.000 {built-in method deletecommand}
       25    0.000    0.000    0.000    0.000 {_struct.calcsize}
       17    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       20    0.000    0.000    0.000    0.000 ImageFile.py:66(_tilesort)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:253(IFDRational)
        2    0.000    0.000    0.000    0.000 __init__.py:1017(getLogger)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        8    0.000    0.000    0.000    0.000 Tkinter.py:1409(_grid_configure)
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
       41    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:292(check_text_memory)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:67(<module>)
       25    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
       72    0.000    0.000    0.000    0.000 startGame.py:120(<genexpr>)
        5    0.000    0.000    0.000    0.000 Tkinter.py:2220(__init__)
       22    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        7    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       20    0.000    0.000    0.000    0.000 BmpImagePlugin.py:49(_accept)
      111    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       11    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
       29    0.000    0.000    0.000    0.000 {setattr}
       10    0.000    0.000    0.000    0.000 {repr}
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
      177    0.000    0.000    0.000    0.000 {ord}
       39    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2919(Text)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:559(decorator)
       41    0.000    0.000    0.000    0.000 Tkinter.py:3322(__str__)
        6    0.000    0.000    0.000    0.000 Image.py:2625(register_open)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2218(Canvas)
        1    0.000    0.000    0.000    0.000 threading.py:631(Thread)
       70    0.000    0.000    0.000    0.000 startGame.py:126(<genexpr>)
       12    0.000    0.000    0.000    0.000 Image.py:2674(register_extension)
        2    0.000    0.000    0.000    0.000 __init__.py:1063(_fixupParents)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        2    0.000    0.000    0.000    0.000 codecs.py:92(__new__)
       27    0.000    0.000    0.000    0.000 decimal.py:3810(<genexpr>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1585(Wm)
       20    0.000    0.000    0.000    0.000 Image.py:2427(_decompression_bomb_check)
       20    0.000    0.000    0.000    0.000 TiffImagePlugin.py:236(_accept)
       71    0.000    0.000    0.000    0.000 startGame.py:123(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:1(_TagInfo)
        4    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        3    0.000    0.000    0.000    0.000 __init__.py:1119(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2684(Menu)
        1    0.000    0.000    0.000    0.000 warnings.py:67(filterwarnings)
        2    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        2    0.000    0.000    0.000    0.000 Tkinter.py:1037(_bind)
       11    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       20    0.000    0.000    0.000    0.000 GifImagePlugin.py:38(_accept)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 {_locale.setlocale}
        2    0.000    0.000    0.000    0.000 {built-in method getvar}
       17    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
       48    0.000    0.000    0.000    0.000 startGame.py:132(<genexpr>)
        2    0.000    0.000    0.000    0.000 threading.py:147(acquire)
        5    0.000    0.000    0.000    0.000 fractions.py:280(_operator_fallbacks)
       10    0.000    0.000    0.000    0.000 {all}
       35    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
       27    0.000    0.000    0.000    0.000 decimal.py:3817(<genexpr>)
       39    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {built-in method createcommand}
        4    0.000    0.000    0.000    0.000 os.py:421(__setitem__)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        2    0.000    0.000    0.000    0.000 threading.py:187(release)
        4    0.000    0.000    0.000    0.000 os.py:444(__contains__)
       48    0.000    0.000    0.000    0.000 startGame.py:129(<genexpr>)
        3    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
       10    0.000    0.000    0.000    0.000 collections.py:361(<genexpr>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2593(Listbox)
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:504(_accept)
        1    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1501(AppendingTiffWriter)
       20    0.000    0.000    0.000    0.000 JpegImagePlugin.py:289(_accept)
        1    0.000    0.000    0.000    0.000 {_locale._getdefaultlocale}
       20    0.000    0.000    0.000    0.000 {method 'isblock' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 {sorted}
        1    0.000    0.000    0.000    0.000 Tkinter.py:1747(wm_protocol)
       20    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:648(Handler)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
        1    0.000    0.000    0.000    0.000 {_codecs.mbcs_decode}
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 mbcs.py:38(getregentry)
       25    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:1307(_configure)
        1    0.000    0.000    0.000    0.000 ntpath.py:174(split)
       24    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 locale.py:493(getdefaultlocale)
       20    0.000    0.000    0.000    0.000 PpmImagePlugin.py:52(_accept)
        8    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        7    0.000    0.000    0.000    0.000 Tkinter.py:1430(grid_columnconfigure)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2488(Entry)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:46(GifImageFile)
       10    0.000    0.000    0.000    0.000 collections.py:363(<genexpr>)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:885(TiffImageFile)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3434(Spinbox)
        7    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:1559(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1104(Logger)
        1    0.000    0.000    0.000    0.000 locale.py:546(getlocale)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2001(Grid)
        1    0.000    0.000    0.000    0.000 ImageFile.py:540(PyDecoder)
        2    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        1    0.000    0.000    0.000    0.000 Tkinter.py:221(Variable)
        3    0.000    0.000    0.000    0.000 Tkinter.py:1526(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1385(__init__)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:792(ImageFileDirectory_v1)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 genericpath.py:93(_splitext)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3614(PanedWindow)
        5    0.000    0.000    0.000    0.000 Image.py:2640(register_mime)
        6    0.000    0.000    0.000    0.000 Image.py:2651(register_save)
        1    0.000    0.000    0.000    0.000 locale.py:363(normalize)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
       34    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
       28    0.000    0.000    0.000    0.000 TiffImagePlugin.py:327(_delegate)
       17    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       10    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:432(__getattr__)
        1    0.000    0.000    0.000    0.000 threading.py:285(__enter__)
