ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
       52    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      160    0.000    0.000    0.000    0.000 {PIL._imaging.crc32}
      120    0.000    0.000    0.000    0.000 __init__.py:1338(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1864(readprofile)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
      160    0.000    0.000    0.000    0.000 _binary.py:71(i16be)
       54    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       30    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
       50    0.000    0.000    0.000    0.000 Tkinter.py:1896(__getattr__)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:610(load_end)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
       19    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:402(chunk_tEXt)
       11    0.000    0.000    0.004    0.000 sre_compile.py:567(compile)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:278(__init__)
       27    0.000    0.000    0.000    0.000 ntpath.py:96(splitdrive)
      120    0.000    0.000    0.000    0.000 __init__.py:1137(debug)
       20    0.000    0.000    0.000    0.000 ImageFile.py:257(load_prepare)
        5    0.000    0.000    0.000    0.000 Tkinter.py:2050(_setup)
       11    0.000    0.000    0.003    0.000 sre_parse.py:706(parse)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
      132    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
       18    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
      160    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
       35    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
        2    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       80    0.000    0.000    0.000    0.000 ImageFile.py:504(_safe_read)
       92    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:297(create_unicode_buffer)
       87    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      100    0.000    0.000    0.000    0.000 <string>:8(__new__)
        3    0.000    0.000    0.000    0.000 decimal.py:3783(__init__)
       20    0.000    0.000    0.000    0.000 ImageTk.py:137(__str__)
        5    0.000    0.000    0.000    0.000 Tkinter.py:2075(__init__)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
